,Player,Playtype,# Seasons,Season,Avg. GP,Avg. # Poss,Avg. Freq,Avg. PPP,Avg. Pts,Avg. EFG%,Avg. FT Freq,Avg. TOV Freq,Avg. SF Freq,Avg. Score Freq,Avg. Percentile
2275,Steve Blake,offscreen,1,Playoffs,4.0,0.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2276,Kirk Hinrich,offscreen,1,Playoffs,6.0,0.2,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2277,Terrance Ferguson,offscreen,1,Playoffs,5.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278,Wilson Chandler,offscreen,1,Playoffs,4.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2279,Ben Simmons,offscreen,1,Playoffs,10.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280,Ricky Rubio,offscreen,1,Playoffs,6.0,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2281,Isaiah Canaan,offscreen,1,Playoffs,3.0,0.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2282,Derrick Williams,offscreen,1,Playoffs,8.0,0.1,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2283,Shane Larkin,offscreen,1,Playoffs,11.0,0.2,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2284,P.J. Tucker,offscreen,2,Playoffs,14.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2285,Luke Babbitt,offscreen,1,Playoffs,2.0,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2286,Mirza Teletovic,offscreen,1,Playoffs,3.0,0.3,14.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2287,Theo Pinson,offscreen,1,Playoffs,3.0,1.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2288,Sterling Brown,offscreen,1,Playoffs,11.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2289,Treveon Graham,offscreen,1,Playoffs,5.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290,Jakob Poeltl,offscreen,1,Playoffs,7.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2291,Rashad Vaughn,offscreen,1,Playoffs,3.0,0.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2292,Bobby Brown,offscreen,1,Playoffs,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2293,Shelvin Mack,offscreen,1,Playoffs,9.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
